Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
Jan 04 2022,480451,481862,477427,479354.00,479354,3641050000
Jan 05 2022,478799,479770,469944,470058.00,470058,3733540000
Jan 06 2022,469339,472501,467126,469605.00,469605,3371250000
Jan 07 2022,469766,470795,466274,467703.00,467703,3279870000
Jan 10 2022,465534,467302,458224,467029.00,467029,3621800000
Jan 11 2022,466914,471413,463827,471307.00,471307,3421600000
Jan 12 2022,472859,474883,470671,472635.00,472635,3060040000
Jan 13 2022,473356,474413,465029,465903.00,465903,3539830000
Jan 14 2022,463799,466513,461475,466285.00,466285,3483530000
Jan 18 2022,463224,463224,456870,457711.00,457711,3324960000
Jan 19 2022,458803,461155,453020,453276.00,453276,3387370000
Jan 20 2022,454735,460211,447795,448273.00,448273,3473060000
Jan 21 2022,447138,449452,439534,439794.00,439794,3945810000
Jan 24 2022,435632,441735,422262,441013.00,441013,5172540000
Jan 25 2022,436664,441101,428711,435645.00,435645,3989420000
Jan 26 2022,440843,445323,430480,434993.00,434993,4046270000
Jan 27 2022,438058,442874,430950,432651.00,432651,4074330000
Jan 28 2022,433619,443272,429246,443185.00,443185,3936030000
Jan 31 2022,443179,451689,441402,451555.00,451555,4001950000
Feb 01 2022,451957,455049,448353,454654.00,454654,3796450000
Feb 02 2022,456639,459531,454432,458938.00,458938,3777170000
Feb 03 2022,453541,454288,447039,447744.00,447744,3596830000
Feb 04 2022,448279,453966,445150,450053.00,450053,3673700000
Feb 07 2022,450575,452186,447147,448387.00,448387,3291600000
Feb 08 2022,448002,453132,446540,452154.00,452154,3509330000
Feb 09 2022,454700,459003,454700,458718.00,458718,3662810000
Feb 10 2022,455324,458892,448431,450408.00,450408,4490500000
Feb 11 2022,450627,452633,440141,441864.00,441864,4164960000
Feb 14 2022,441261,442622,436484,440167.00,440167,3466170000
Feb 15 2022,442928,447277,442928,447107.00,447107,3363200000
Feb 16 2022,445575,448955,442968,447501.00,447501,3478750000
Feb 17 2022,445606,445606,437381,438026.00,438026,3596510000
Feb 18 2022,438457,439460,432722,434887.00,434887,3871340000
Feb 22 2022,433274,436212,426711,430476.00,430476,4007780000
Feb 23 2022,432493,434151,422151,42255.00,422550,3814340000
Feb 24 2022,415577,429473,411465,42887.00,428870,5070560000
Feb 25 2022,429838,438534,428683,438465.00,438465,3941780000
Feb 28 2022,435417,438884,431512,437394.00,437394,4594010000
Mar 01 2022,436314,437845,427954,430626.00,430626,4679400000
Mar 02 2022,432256,440148,432256,438654.00,438654,4409090000
Mar 03 2022,440131,441678,434556,436349.00,436349,4062080000
Mar 04 2022,434212,434212,428498,432887.00,432887,4558250000
Mar 07 2022,432701,432701,419985,420109.00,420109,5506330000
Mar 08 2022,420266,427694,415787,41707.00,417070,6237000000
Mar 09 2022,422310,429940,422310,427788.00,427788,4220180000
Mar 10 2022,425255,426828,420980,425952.00,425952,4008690000
Mar 11 2022,427950,429101,420049,420431.00,420431,3877430000
Mar 14 2022,420275,424757,416172,417311.00,417311,4757600000
Mar 15 2022,418882,427105,418790,426245.00,426245,4331170000
Mar 16 2022,428814,435890,425199,435786.00,435786,5002240000
Mar 17 2022,434511,441267,433565,441167.00,441167,4174170000
Mar 18 2022,440734,446540,439057,446312.00,446312,6681510000
Mar 21 2022,446240,448175,442430,446118.00,446118,3961050000
Mar 22 2022,446910,452200,446910,451161.00,451161,3962880000
Mar 23 2022,449310,450107,445581,445624.00,445624,4014360000
Mar 24 2022,446998,452058,446517,452016.00,452016,3573430000
Mar 25 2022,452291,454603,450107,454306.00,454306,3577520000
Mar 28 2022,454109,457565,451769,457552.00,457552,3696850000
Mar 29 2022,460286,463730,458966,46316.00,463160,4239660000
Mar 30 2022,462420,462777,458132,460245.00,460245,3665390000
Mar 31 2022,459902,460307,453041,453041.00,453041,3782040000
Apr 01 2022,454032,454870,450757,454586.00,454586,3828290000
Apr 04 2022,454797,458350,453921,458264.00,458264,3833500000
Apr 05 2022,457245,459345,451417,452512.00,452512,3906230000
Apr 06 2022,449417,450394,445004,448115.00,448115,4137080000
Apr 07 2022,447465,452116,445030,450021.00,450021,4054010000
Apr 08 2022,449415,452041,447460,448828.00,448828,3453040000
Apr 11 2022,446264,446435,440838,441253.00,441253,3452540000
Apr 12 2022,443759,447100,438134,439745.00,439745,3451990000
Apr 13 2022,439430,445392,439270,444659.00,444659,3273140000
Apr 14 2022,444912,446046,439077,439259.00,439259,3634740000
Apr 18 2022,438563,441031,437030,439169.00,439169,3509340000
Apr 19 2022,439063,447103,439063,446221.00,446221,3197930000
Apr 20 2022,447226,448829,444876,445945.00,445945,3678040000
